BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,PostCode,RatingValue,RatingDate,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude
Apollo Youth Club,Hospitals/Childcare/Caring Premises,22-24 Mount Pleasant,Reading,,RG1 2TD,5,2025-06-20,Reading,5,5,5,-0.9668203,51.4478882
Aramark Salvation Army,Restaurant/Cafe/Canteen,Willow Street,Reading,,RG1 6AB,5,2025-09-18,Reading,5,5,5,,
Artisan Loaf Makers,Other catering premises,Britten Road,Reading,,RG2 0AU,5,2025-02-26,Reading,0,0,0,-0.97000132,51.44265394
Arusuvai,Other catering premises,,,,,5,2026-02-25,Reading,5,0,5,,
Asda Express PFS Berkeley,Retailers - other,10 Berkeley Avenue,Reading,,RG1 6JE,4,2025-09-13,Reading,5,10,5,-0.9798493,51.4482542
Asda Service Station,Retailers - other,12/14 School Road,Tilehurst,Reading,RG31 5AL,5,2025-11-10,Reading,0,5,0,-1.0378228,51.4608744
Asda Superstore,Retailers - supermarkets/hypermarkets,67 Honey End Lane,Reading,Berkshire,RG30 4EL,5,2025-10-08,Reading,0,5,5,-1.01753,51.4491
Aseda Supermarkets,Retailers - supermarkets/hypermarkets,170 Oxford Road,Reading,,RG1 7PL,4,2025-07-31,Reading,10,5,5,-0.9885623,51.4557752
Ashanti Royale Restaurant and Catering Services,Restaurant/Cafe/Canteen,152 Oxford Road,Reading,,RG1 7PJ,1,2025-12-10,Reading,15,15,20,-0.9879875,51.4557342
Ashley Johnson,Hospitals/Childcare/Caring Premises,,,,,Exempt,,Reading,,,,,
Asian Corner,Takeaway/sandwich shop,Inside Morrisons Basingstoke Road,Reading,,RG2 0HB,5,2026-08-21,Reading,5,0,5,,
ASR Solutions Ltd,Distributors/Transporters,Unit 1 Meadow Road,Reading,,RG1 8LB,5,2026-03-26,Reading,0,5,5,-0.9807223,51.4623671
Athena's Gold,Other catering premises,,,,,5,2026-03-31,Reading,5,5,5,,
Atif Superstore,Retailers - other,481-483 Oxford Road,Reading,,RG30 1HF,4,2025-09-18,Reading,0,10,10,-0.9991794,51.457314
Atlas Shawarma,Restaurant/Cafe/Canteen,349 Oxford Road,Reading,,RG30 1AY,AwaitingInspection,,Reading,,,,-0.9939073,51.4561898
Attimonosh,Takeaway/sandwich shop,120a Henley Road,Caversham,Reading,RG4 6DH,5,2026-05-12,Reading,5,5,5,-0.9588715,51.4709274
Auntie Anne's Pretzels at The Oracle,Takeaway/sandwich shop,Bridge Street,Reading,,RG1 2AQ,5,2025-11-05,Reading,0,5,5,-0.97236539,51.45247823
Avenue Food & Wine,Retailers - other,92 Northcourt Avenue,Reading,,RG2 7HQ,4,2025-11-19,Reading,0,0,10,-0.9505591,51.4335097
Avilah Foods,Manufacturers/packers,535 Oxford Road,Reading,,RG30 1HJ,3,2025-06-25,Reading,10,10,10,-1.0009545,51.4577607
Aya's Home Kitchen,Other catering premises,48 Winton Road,Reading,,RG28HJ,5,2026-04-14,Reading,5,5,5,-0.9511191,51.4234884
"Aylesbury, Chiltern & South Bucks Sports & Social Club",Other catering premises,270 Whitley Wood Road,Reading,,RG2 8FS,5,2023-09-06,Reading,0,0,0,-0.9690801,51.4152404
B & B Biltong,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
B&M Home Store with Garden Centre,Retailers - other,709-731 Oxford Road,Reading,,RG30 1PR,Exempt,,Reading,,,,,
B&M Store,Retailers - other,Units 3a & 3b Brunel Shopping Centre,Rose Kiln Lane,Reading,RG2 0HS,5,2023-12-04,Reading,5,0,5,,
Back of Beyond,Pub/bar/nightclub,108 Kings Road,Reading,,RG1 3BY,5,2025-09-04,Reading,0,5,0,-0.9633864,51.4546468
Bagaara,Restaurant/Cafe/Canteen,256 Shinfield Road,Reading,,RG2 8EY,4,2025-09-16,Reading,5,10,5,-0.9470297,51.4262124
Bake A Wish,Other catering premises,,,,,4,2024-11-29,Reading,5,0,10,,
Bake the Brilliant Bread,Other catering premises,,,,,5,2026-02-24,Reading,5,5,5,,
Baker Station,Other catering premises,,,,,5,2017-08-09,Reading,0,5,0,,
Bakery House,Restaurant/Cafe/Canteen,82 London Street,Reading,,RG1 4SJ,4,2025-03-04,Reading,5,10,5,-0.9680305,51.4516485
Bally Convenience Store,Retailers - other,2 Pell Street,Reading,,RG1 2NZ,2,2025-01-16,Reading,10,15,10,-0.9727826,51.4483094
Banana Moon Day Nursery,Hospitals/Childcare/Caring Premises,371 Gosbrook Road,Caversham,Reading,RG4 8ED,5,2025-12-05,Reading,5,0,5,-0.9610787,51.4650212
Banh Mi QB,Other catering premises,19-23 King Street,Reading,,RG1 2HG,3,2025-05-03,Reading,10,10,10,-0.96969,51.45479
Bar Iguana,Pub/bar/nightclub,11 St Marys Butts,Reading,,RG1 2LN,5,2025-04-10,Reading,5,5,5,-0.975304,51.4545988
Barry's Burger Bar,Mobile caterer,1 Scours Lane,Reading,,RG30 6AY,4,2026-05-26,Reading,10,5,0,-1.01391891,51.46515804
Baxter Storey at Cisco Systems,Restaurant/Cafe/Canteen,300 Longwater Avenue,Reading,,RG2 6GE,5,2025-10-15,Reading,0,0,0,-0.992028,51.4251515
Baxter Storey at Ernest and Young,Restaurant/Cafe/Canteen,2 Blagrave Street,Reading,,RG1 1AZ,5,2026-07-13,Reading,0,0,5,-0.9702119,51.4576834
Baxter Storey at Visa Europe,Restaurant/Cafe/Canteen,41-45 Queens Road,Reading,,RG1 4BQ,5,2026-07-07,Reading,0,5,0,,
Baxterstorey - Apex Building,Restaurant/Cafe/Canteen,Forbury Road,Reading,,,5,2025-09-25,Reading,5,5,5,,
BaxterStorey - Deloitte,Restaurant/Cafe/Canteen,Abbots House Abbey Street,Reading,,RG1 3BD,5,2026-03-26,Reading,0,0,5,-0.9661705,51.456272
Baxterstorey @ JLL Green Park,Restaurant/Cafe/Canteen,400 Brook Drive,Reading,,RG2 6UU,5,2025-05-15,Reading,5,5,5,-0.9913629,51.422691
BaxterStorey at Campus Kitchen,Restaurant/Cafe/Canteen,Reading International Business Park,Reading,,RG2 6DA,5,2026-06-12,Reading,5,0,5,,
BaxterStorey at One Station Hill,Restaurant/Cafe/Canteen,One Station Hill Garrard Street,Reading,,RG1 1NR,5,2025-06-20,Reading,0,0,0,,
BaxterStorey CBRE Thames Hub,Other catering premises,250 Brook Drive,Reading,,RG2 6UA,5,2026-04-13,Reading,0,0,0,-0.9891333,51.424668
Bays Peri Peri,Restaurant/Cafe/Canteen,6 West Street,Reading,,RG1 1TT,5,2026-08-05,Reading,0,5,0,-0.9755982,51.456247
BB's Bakers & Baristas,Restaurant/Cafe/Canteen,Bridge Street,Reading,,RG1 2AQ,5,2026-02-05,Reading,5,5,5,-0.97236539,51.45247823
Be At One,Restaurant/Cafe/Canteen,1 Gun Street,Reading,,RG1 2JR,5,2026-07-14,Reading,5,0,0,-0.9734797,51.4538006
Beacher Hall Nursing Home,Hospitals/Childcare/Caring Premises,42 Bath Road,Reading,,RG1 6PG,5,2026-03-17,Reading,5,5,5,-0.9899624,51.4497176
Beesknees Day Nursery,Hospitals/Childcare/Caring Premises,97 Connaught Road,Reading,,RG30 2UE,5,2024-10-16,Reading,0,5,5,-0.9945234,51.4536953
Bella Italia at The Oracle / Super Nonna,Restaurant/Cafe/Canteen,Bridge Street,Reading,,RG1 2AG,5,2024-07-17,Reading,5,5,5,,
Bengali Bites,Other catering premises,,,,,4,2026-06-04,Reading,5,5,10,,
Ben's Cookies at The Oracle,Retailers - other,Bridge Street,Reading,,RG1 2AQ,5,2018-02-14,Reading,0,0,0,-0.97236539,51.45247823
Berkeley Garden Day Nursery,Hospitals/Childcare/Caring Premises,72 Berkeley Avenue,Reading,,RG1 6HY,5,2025-09-24,Reading,5,5,0,-0.9869096,51.4478479
Berkshire Meat Traders,Retailers - other,17 Deacon Way,Tilehurst,Reading,RG30 6AZ,5,2025-08-05,Reading,5,5,5,-1.0167806,51.4647823
Best and Less Supermarket,Retailers - other,55 Basingstoke Road,Reading,,RG2 0ER,1,2026-05-18,Reading,10,10,20,-0.9665949,51.4400365
Best Foods,Retailers - other,129 Oxford Road,Reading,,RG1 7UU,4,2025-08-06,Reading,5,10,5,-0.9817197,51.4547447
Best Kebab House,Takeaway/sandwich shop,234c Shinfield Road,Reading,,RG2 8EX,4,2025-08-19,Reading,5,10,5,-0.9466941,51.4276751
Best One,Retailers - other,1a Nire Road,Caversham,Reading,RG1 5LT,2,2025-09-23,Reading,15,10,10,-0.9496932,51.4674824
Betel Group,Manufacturers/packers,,,,,3,2025-11-05,Reading,10,5,10,,
"Better Cafe, Palmer Park",Restaurant/Cafe/Canteen,Wokingham Road,Reading,,RG6 1LF,5,2024-12-08,Reading,5,5,5,-0.94414051,51.45204459
Betty's Bistro,Restaurant/Cafe/Canteen,487 Oxford Road,Reading,,RG30 1HF,1,2026-01-06,Reading,15,15,20,-0.999379,51.4574056
Biccy Bakes,Other catering premises,,,,,5,2017-07-17,Reading,0,0,0,,
Bierhaus,Restaurant/Cafe/Canteen,8 Queens Walk,Reading,,RG1 7QF,1,2025-10-10,Reading,15,15,20,-0.9763454,51.4543652
Big Bazaar,Retailers - supermarkets/hypermarkets,13-17 London Road,Reading,,RG1 5BJ,5,2026-04-07,Reading,5,5,5,-0.9664902,51.4506763
Big Bazaar,Retailers - supermarkets/hypermarkets,221 Shinfield Road,Reading,,RG2 8HA,1,2026-07-21,Reading,15,10,20,-0.9459951,51.427426
Big Bazaar,Retailers - other,67-69 Wokingham Road,Reading,,RG6 1LH,5,2025-09-01,Reading,0,5,5,-0.9373404,51.4489465
Big Bazaar,Retailers - supermarkets/hypermarkets,80 Tean House Havergate Way,Reading,,RG2 0GU,5,2026-03-03,Reading,5,5,5,-0.9753665,51.4305911
Big Bazaar Halal Meat,Retailers - other,67-69 Wokingham Road,Reading,,RG6 1LH,4,2025-09-01,Reading,10,10,0,-0.9373404,51.4489465
Bilbo’s Travelling Tavern,Mobile caterer,55 Brooksby Road,Reading,,RG31 6LZ,AwaitingInspection,,Reading,,,,-1.0398867,51.4695235
Bill's,Restaurant/Cafe/Canteen,Chain Street,Reading,Berkshire,RG1 2HX,5,2026-06-05,Reading,5,5,0,,
Bina Continental Stores,Retailers - other,306 Oxford Road,Reading,,RG30 1AD,3,2026-04-28,Reading,10,10,10,-0.994703,51.4566642
Bina Tandoori,Restaurant/Cafe/Canteen,21 Prospect Street,Caversham,Reading,RG4 8JB,5,2025-11-06,Reading,5,5,5,-0.971687,51.4682711
Bina's Bakery,Other catering premises,,,,,5,2026-04-25,Reading,5,5,5,,
Biryani Boyzz,Restaurant/Cafe/Canteen,109 Oxford Road,Reading,,RG1 7UD,3,2026-07-28,Reading,10,10,10,-0.9800623,51.4548472
Biryani Boyzz,Takeaway/sandwich shop,63 Wokingham Road,Reading,,RG6 1LH,4,2026-03-04,Reading,5,10,5,-0.9373965,51.44901
Biryani Mama Bar & Restaurant,Restaurant/Cafe/Canteen,64-65 St Marys Butts,Reading,,,3,2025-11-05,Reading,10,10,10,-0.9747663,51.4550324
Biryanish,Restaurant/Cafe/Canteen,92 Oxford Road,Reading,,RG1 7LJ,2,2026-06-30,Reading,5,15,5,-0.9799116,51.4551516
BJ's Luxury Bingo Club,Pub/bar/nightclub,Gillette Way,Reading,,RG2 0BS,5,2026-01-20,Reading,5,5,5,-0.96941425,51.43191494
BKRY,Retailers - other,47 Church Street,Caversham,Reading,RG4 8BA,5,2026-03-20,Reading,5,5,5,-0.9741115,51.4674649
Black Sheep Coffee,Takeaway/sandwich shop,1-3 Queen Victoria Street,Reading,,RG1 1SY,5,2026-08-21,Reading,5,5,5,-0.9722667,51.4565505
Black Sheep Coffee,Restaurant/Cafe/Canteen,60 Broad Street,Reading,,RG1 2AF,5,2026-07-10,Reading,5,5,5,-0.9743857,51.4557598
Blacks,Retailers - other,Chain Street,Reading,Berkshire,RG1 6HX,Exempt,,Reading,,,,,
Blagrave Nursery,Hospitals/Childcare/Caring Premises,Recreation Road,Tilehurst,Reading,RG30 4UA,4,2025-02-26,Reading,5,10,5,,
Blip,Restaurant/Cafe/Canteen,8 Park Lane Tilehurst,Reading,,RG31 5DL,5,2026-01-22,Reading,5,5,5,-1.04449,51.4566127
Blip (Reading Central),Takeaway/sandwich shop,Unit 49 Milford Road Reading,Reading,,RG1 8LG,AwaitingInspection,,Reading,,,,-0.9816241,51.4622883
Blue Collar Corner,Pub/bar/nightclub,15 Hosier Street,Reading,,RG1 7QL,5,2025-08-21,Reading,0,0,0,-0.9752443,51.4540297
Blueskys Trading,Retailers - other,27 Rose Kiln Lane,Reading,,RG2 0JZ,4,2024-06-24,Reading,0,5,10,-0.9759891,51.4419893
Bo Wah,Takeaway/sandwich shop,85 Northumberland Avenue,Reading,,RG2 7PT,3,2026-02-23,Reading,10,10,10,-0.9621921,51.4387836
Boba Bloom,Restaurant/Cafe/Canteen,91 Erleigh Road,Reading,,RG1 5NN,1,2026-06-16,Reading,10,10,20,-0.9468788,51.4490325
Bodrum Corner Cafe,Restaurant/Cafe/Canteen,248a Shinfield Road,Reading,,RG2 8EY,3,2026-05-18,Reading,10,5,10,-0.9470085,51.4265089
Bodrum Kebab Mobile Van - Mr Nihat Umdu,Mobile caterer,223 Shinfield Road,Reading,,RG2 8HD,5,2026-06-04,Reading,5,5,5,-0.9461599,51.4271398
Boltons Rest Home,Hospitals/Childcare/Caring Premises,4 College Road,Reading,,RG6 1QD,5,2026-01-28,Reading,5,5,5,-0.942667,51.451224
Bombay Brothers,Restaurant/Cafe/Canteen,King Street,Reading,,RG1 2HG,4,2025-06-19,Reading,5,10,5,-0.9691883,51.45498625
Bombay Punjabi,Takeaway/sandwich shop,100 Oxford Road,Reading,,RG1 7LJ,2,2025-05-24,Reading,10,15,10,-0.9802282,51.4551544
Boom Battle Bar,Pub/bar/nightclub,12-14 Station Road,Reading,,RG1 1JX,5,2026-04-30,Reading,5,5,5,-0.9719702,51.457431
Boost Juice Bars at The Oracle,Takeaway/sandwich shop,Bridge Street,Reading,,RG1 2AG,5,2024-07-02,Reading,5,5,0,,
Boots UK Ltd,Retailers - other,45 Church Street,Caversham,Reading,RG4 8BA,Exempt,,Reading,,,,-0.9742832,51.4674127
Boots UK Ltd,Retailers - other,47-48 Broad Street,Reading,,RG1 2AE,5,2025-08-12,Reading,0,0,0,-0.9731592,51.4559019
Boots UK Ltd at Reading Rail Station Concourse,Retailers - other,Station Approach,Reading,,RG1 1LT,5,2025-03-19,Reading,0,0,0,-0.97266395,51.45874139
Boots UK Ltd at The Oracle,Retailers - other,Bridge Street,Reading,Berkshire,RG1 2AH,5,2025-08-12,Reading,0,0,0,,
Boswells Cafe at Broad St Mall,Restaurant/Cafe/Canteen,Broad Street,Reading,,RG1 7QE,5,2024-10-17,Reading,5,5,5,,
Bow Guest House,Hotel/bed & breakfast/guest house,25 Russell Street,Reading,,RG1 7XD,5,2017-11-16,Reading,0,5,0,-0.982385,51.4539502
Bowl Central,Restaurant/Cafe/Canteen,65 Caversham Road,Reading,,RG1 8AD,5,2026-01-08,Reading,0,5,5,-0.9762691,51.4603622
BP Leander Service Station,Retailers - other,182-184 Henley Road,Reading,Berkshire,RG4 5LW,5,2023-11-01,Reading,0,5,5,-0.9532802,51.4711563
BP Reading Service Station,Retailers - other,69 London Road,Reading,,RG1 5BW,5,2024-10-26,Reading,5,5,5,-0.9606205,51.451592
BP Weldale Connect,Retailers - other,324 Wokingham Road,Reading,,RG6 1JU,5,2024-10-26,Reading,0,5,5,-0.9316409,51.4422048
Bread & Olive,Other catering premises,,,,,5,2024-11-07,Reading,0,0,0,,
Breakfast and After School Club,School/college/university,Silchester Road,Reading,,RG30 3EJ,4,2026-02-12,Reading,5,5,10,-1.00178734,51.44292796
Breakfast Box Mobile Van,Mobile caterer,Rose Kiln Lane,Reading,,,5,2024-09-27,Reading,0,5,5,,
Brownies and Berries,Other catering premises,,,,,5,2024-10-18,Reading,0,0,5,,
Bubble CiTea,Restaurant/Cafe/Canteen,Bridge Street,Reading,,,5,2024-12-13,Reading,0,0,5,,
Bubbleology Reading,Other catering premises,Bridge Street,Reading,,RG1 2AH,5,2025-10-16,Reading,5,5,5,,
Budgens at Milestone Way Precinct,Retailers - supermarkets/hypermarkets,Milestone Way,Caversham,Reading,RG4 8XW,5,2024-12-12,Reading,0,5,0,,
Buenasado,Restaurant/Cafe/Canteen,Bridge Street,Reading,,RG1 2AQ,5,2025-10-30,Reading,5,5,5,-0.97236539,51.45247823
Burger Den,Takeaway/sandwich shop,109a Oxford Road,Reading,,RG1 7UD,5,2026-04-21,Reading,5,5,5,-0.9801347,51.4548299
Burger King,Restaurant/Cafe/Canteen,Imperial Way,Reading,,RG2 0TE,5,2025-08-28,Reading,0,5,0,,
Burger King at Reading Rail Station Concourse,Restaurant/Cafe/Canteen,Station Approach,Reading,,RG1 1LZ,5,2026-04-06,Reading,5,5,5,-0.97266395,51.45874139
Burger King Reading,Restaurant/Cafe/Canteen,8-9 St Marys Butts,Reading,,RG1 2LN,5,2026-03-17,Reading,0,5,0,-0.975304,51.4545988
Busy Bees Nursery at Reading International,Hospitals/Childcare/Caring Premises,A33 Relief Road,Reading,,RG2 6DA,5,2025-10-09,Reading,0,5,5,,
Butts Kiosk Carpark Foyer at The Riverside The Oracle,Retailers - other,Bridge Street,Reading,,,5,2024-07-31,Reading,0,0,0,,
Butts Super News,Retailers - other,72 School Road,Tilehurst,Reading,RG31 5AW,4,2024-12-17,Reading,0,5,10,-1.0402152,51.4586729
Butts Today's Local,Retailers - other,145-147 The Meadway,Reading,,RG30 4AP,AwaitingInspection,,Reading,,,,-1.0244116,51.4512051
Byte Café,Restaurant/Cafe/Canteen,100 Longwater Avenue,Reading,,RG2 6GP,5,2025-10-08,Reading,5,5,0,-0.9875584,51.4263
Cafe 12,Restaurant/Cafe/Canteen,143-145 Oxford Road,Reading,,RG1 7UY,5,2025-09-18,Reading,5,5,5,-0.9826119,51.4547525
Cafe Alive at Grange United Reform Church,Restaurant/Cafe/Canteen,Circuit Lane,Reading,,RG30 3HD,5,2018-02-08,Reading,0,0,0,-1.00788545,51.44548432
Cafe Local,Restaurant/Cafe/Canteen,Platforms 8 & 9 Reading Railway Station,Reading,,RG1 8FP,5,2025-08-27,Reading,5,5,0,-0.9735346,51.458119
Cafe Local,Restaurant/Cafe/Canteen,Royal Berkshire Hospital,London Road,Reading,RG1 5AN,5,2026-03-07,Reading,5,5,5,-0.9586953,51.4508195
Cafe Local at Platform 7  Reading Rail Station,Takeaway/sandwich shop,Station Approach,Reading,,,5,2025-08-27,Reading,5,5,0,,
Cafe Ritazza at Platform 10/11 Reading Rail Station,Restaurant/Cafe/Canteen,Station Approach,Reading,,,5,2025-10-28,Reading,5,5,0,,
